c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Offshore Leaks,organization,Italy,Seychelles,1
Offshore Leaks,organization,Italy,Samoa,1
Offshore Leaks,organization,Italy,Recorded in leaked files as fund,1
Offshore Leaks,organization,Italy,Mauritius,1
Offshore Leaks,organization,Italy,Cook Islands,1
Offshore Leaks,organization,Italy,Cayman Islands,1
Panama Papers,individual,Gabon,British Anguilla,1
Panama Papers,individual,Albania,Panama,1
Panama Papers,individual,Algeria,Bahamas,1
Panama Papers,individual,Central African Republic,Bahamas,1
Panama Papers,individual,Cape Verde,Seychelles,1
Panama Papers,individual,Canada,Hong Kong,1
Panama Papers,individual,Cameroon,United Kingdom,1
Panama Papers,individual,Cameroon,Samoa,1
Panama Papers,individual,Cameroon,British Anguilla,1
Panama Papers,individual,Chad,Bahamas,1
Panama Papers,individual,Cameroon,Bahamas,1
Panama Papers,individual,Cambodia,Samoa,1
Panama Papers,individual,Burkina Faso,British Virgin Islands,1
Panama Papers,individual,Bulgaria,Samoa,1
Panama Papers,individual,Bulgaria,British Anguilla,1
Panama Papers,individual,Brunei,Bahamas,1
Panama Papers,individual,Brazil,Niue,1
Panama Papers,individual,Cambodia,Seychelles,1
Panama Papers,individual,Brazil,Malta,1
Panama Papers,individual,Chad,New Zealand,1
Panama Papers,individual,Colombia,Samoa,1
Panama Papers,individual,Ethiopia,Seychelles,1
Panama Papers,individual,Ethiopia,British Anguilla,1
Panama Papers,individual,Estonia,Malta,1
Panama Papers,individual,Estonia,Cyprus,1
Panama Papers,individual,Equatorial Guinea,British Virgin Islands,1
Panama Papers,individual,Dominican Republic,Samoa,1
Panama Papers,individual,Chad,Samoa,1
Panama Papers,individual,Denmark,Samoa,1
Panama Papers,individual,Côte dIvoire,Seychelles,1
Panama Papers,individual,Czech Republic,Singapore,1
Panama Papers,individual,Czech Republic,British Anguilla,1
Panama Papers,individual,Curaçao,British Anguilla,1
Panama Papers,individual,Cuba,Bahamas,1
Panama Papers,individual,Croatia,British Anguilla,1
Panama Papers,individual,Denmark,Panama,1
